time,.data
1969/12/31/22:13:58.160000,-2.511961298644908
1969/12/31/22:13:58.160000,-2.511961298644908
1969/12/31/22:13:58.170000,-2.511961298644908
1969/12/31/22:13:58.170000,-2.511961298644908
1969/12/31/22:13:58.180000,-2.511961298644908
1969/12/31/22:13:58.180000,-2.511961298644908
1969/12/31/22:13:58.190000,-2.511961298644908
1969/12/31/22:13:58.190000,-2.511961298644908
1969/12/31/22:13:58.200000,-2.511961298644908
1969/12/31/22:13:58.200000,-2.483620204680139
1969/12/31/22:13:58.210000,-2.483620204680139
1969/12/31/22:13:58.210000,-2.483620204680139
1969/12/31/22:13:58.220000,-2.483620204680139
1969/12/31/22:13:58.220000,-2.483620204680139
1969/12/31/22:13:58.230000,-2.483620204680139
1969/12/31/22:13:58.230000,-2.483620204680139
1969/12/31/22:13:58.240000,-2.483620204680139
1969/12/31/22:13:58.240000,-2.483620204680139
1969/12/31/22:13:58.250000,-2.483620204680139
1969/12/31/22:13:58.250000,-2.4521561606341056
1969/12/31/22:13:58.260000,-2.4521561606341056
1969/12/31/22:13:58.260000,-2.4521561606341056
1969/12/31/22:13:58.270000,-2.4521561606341056
1969/12/31/22:13:58.270000,-2.4521561606341056
1969/12/31/22:13:58.280000,-2.4521561606341056
1969/12/31/22:13:58.280000,-2.4521561606341056
1969/12/31/22:13:58.290000,-2.4521561606341056
1969/12/31/22:13:58.290000,-2.4205502179853258
1969/12/31/22:13:58.300000,-2.4205502179853258
1969/12/31/22:13:58.300000,-2.4143350502787415
1969/12/31/22:13:58.310000,-2.4143350502787415
1969/12/31/22:13:58.310000,-2.4143350502787415
1969/12/31/22:13:58.320000,-2.4143350502787415
1969/12/31/22:13:58.320000,-2.4143350502787415
1969/12/31/22:13:58.330000,-2.4143350502787415
1969/12/31/22:13:58.330000,-2.4143350502787415
1969/12/31/22:13:58.340000,-2.4143350502787415
1969/12/31/22:13:58.340000,-2.4143350502787415
1969/12/31/22:13:58.350000,-2.4143350502787415
1969/12/31/22:13:58.350000,-2.3894011463695124
1969/12/31/22:13:58.360000,-2.3894011463695124
1969/12/31/22:13:58.360000,-2.3894011463695124
1969/12/31/22:13:58.370000,-2.3894011463695124
1969/12/31/22:13:58.370000,-2.3894011463695124
1969/12/31/22:13:58.380000,-2.3894011463695124
1969/12/31/22:13:58.380000,-2.3894011463695124
1969/12/31/22:13:58.390000,-2.3894011463695124
