time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
1969/12/31/22:13:58.050000,2.6296762437375656,0.0,0.0,0.0,0.0,-0.6296373055670245
1969/12/31/22:13:58.050000,2.6296762437375656,0.0,0.0,0.0,0.0,-0.6296373055670245
1969/12/31/22:13:58.060000,2.6296762437375656,0.0,0.0,0.0,0.0,-0.6296373055670245
1969/12/31/22:13:58.060000,2.642301147176883,0.0,0.0,0.0,0.0,-0.6072121468777147
1969/12/31/22:13:58.070000,2.642301147176883,0.0,0.0,0.0,0.0,-0.6072121468777147
1969/12/31/22:13:58.070000,2.642301147176883,0.0,0.0,0.0,0.0,-0.6072121468777147
1969/12/31/22:13:58.080000,2.642301147176883,0.0,0.0,0.0,0.0,-0.6072121468777147
1969/12/31/22:13:58.080000,2.642301147176883,0.0,0.0,0.0,0.0,-0.6072121468777147
1969/12/31/22:13:58.090000,2.642301147176883,0.0,0.0,0.0,0.0,-0.6072121468777147
1969/12/31/22:13:58.090000,2.642301147176883,0.0,0.0,0.0,0.0,-0.6072121468777147
1969/12/31/22:13:58.100000,2.642301147176883,0.0,0.0,0.0,0.0,-0.6072121468777147
1969/12/31/22:13:58.100000,2.642301147176883,0.0,0.0,0.0,0.0,-0.6072121468777147
1969/12/31/22:13:58.110000,2.642301147176883,0.0,0.0,0.0,0.0,-0.6072121468777147
1969/12/31/22:13:58.110000,2.6768998392029983,0.0,0.0,0.0,0.0,-0.5849084332657413
1969/12/31/22:13:58.120000,2.6768998392029983,0.0,0.0,0.0,0.0,-0.5849084332657413
1969/12/31/22:13:58.120000,2.6768998392029983,0.0,0.0,0.0,0.0,-0.5849084332657413
1969/12/31/22:13:58.130000,2.6768998392029983,0.0,0.0,0.0,0.0,-0.5849084332657413
1969/12/31/22:13:58.130000,2.6768998392029983,0.0,0.0,0.0,0.0,-0.5849084332657413
1969/12/31/22:13:58.140000,2.6768998392029983,0.0,0.0,0.0,0.0,-0.5849084332657413
1969/12/31/22:13:58.140000,2.6768998392029983,0.0,0.0,0.0,0.0,-0.5849084332657413
1969/12/31/22:13:58.150000,2.6768998392029983,0.0,0.0,0.0,0.0,-0.5849084332657413
1969/12/31/22:13:58.150000,2.6966184481471656,0.0,0.0,0.0,0.0,-0.546089325959062
1969/12/31/22:13:58.160000,2.6966184481471656,0.0,0.0,0.0,0.0,-0.546089325959062
1969/12/31/22:13:58.160000,2.6966184481471656,0.0,0.0,0.0,0.0,-0.546089325959062
1969/12/31/22:13:58.170000,2.6966184481471656,0.0,0.0,0.0,0.0,-0.546089325959062
1969/12/31/22:13:58.170000,2.6966184481471656,0.0,0.0,0.0,0.0,-0.546089325959062
1969/12/31/22:13:58.180000,2.6966184481471656,0.0,0.0,0.0,0.0,-0.546089325959062
